,document,Flesch.Kincaid,Dale.Chall,ELF,FOG.NRI,
138,CONSCI,NA,NA,NA,NA,
139,CONSENT,NA,NA,NA,NA,
140,CONTV,NA,NA,NA,NA,
141,CONWKDAY,NA,NA,NA,NA,
142,COOCC10,NA,NA,NA,NA,
143,COOP,NA,NA,NA,NA,
144,COOTHER,NA,NA,NA,NA,
145,COPRES10,NA,NA,NA,NA,
146,COPRES105PLUS,NA,NA,NA,NA,
147,COREL,NA,NA,NA,NA,
148,COSEI10,NA,NA,NA,NA,
149,COSEI10EDUC,NA,NA,NA,NA,
150,COSEI10INC,NA,NA,NA,NA,
151,COURTS,9.209473684,30.89,6,0.875,1
152,COWRKHLP,NA,NA,NA,NA,
153,COWRKINT,NA,NA,NA,NA,
154,COWRKSLF,NA,NA,NA,NA,
155,COWRKSTA,NA,NA,NA,NA,
156,CRACK30,NA,NA,NA,NA,
157,DANGOTH1,NA,NA,NA,NA,
158,DANGOTH2,NA,NA,NA,NA,
159,DANGOTH3,NA,NA,NA,NA,
160,DANGOTH4,NA,NA,NA,NA,
161,DANGOTH5,NA,NA,NA,NA,
162,DANGROTH,NA,NA,NA,NA,
163,DANGRSLF,NA,NA,NA,NA,
164,DANGSLF1,NA,NA,NA,NA,
165,DANGSLF2,NA,NA,NA,NA,
166,DANGSLF3,NA,NA,NA,NA,
167,DANGSLF4,NA,NA,NA,NA,
168,DANGSLF5,NA,NA,NA,NA,
169,DATEINTV,NA,NA,NA,NA,
170,DECMONEY,NA,NA,NA,NA,
171,DECTREAT,NA,NA,NA,NA,
172,DEFPENSN,NA,NA,NA,NA,
173,DEGREE,NA,NA,NA,NA,
174,DEMANDS,NA,NA,NA,NA,
175,DENKID,NA,NA,NA,NA,
176,DENOM,10.74,32.02714286,3,-1.115,1
177,DENOM16,NA,NA,NA,NA,
178,DEPRESS,NA,NA,NA,NA,
179,DEPTPERF,NA,NA,NA,NA,
180,DIABETES,NA,NA,NA,NA,
181,DIAGNOSD,NA,NA,NA,NA,
182,DIFREL,NA,NA,NA,NA,
183,DINEFRDS,NA,NA,NA,NA,
184,DIPGED,NA,NA,NA,NA,
185,DISCAFF,9.349090909,40.18363636,7,4,1
186,DISCAFFM,9.673292683,33.6354878,7,3.7275,1
187,DISCAFFW,9.673292683,33.6354878,7,3.7275,1
188,DISRSPCT,6.305714286,47.55428571,4.5,0.74,1
189,DIVLAW,7.6125,35.1475,5,0.1,1
190,DIVORCE,9.655,34.73,4,-1.02,1
191,DOFIRST,NA,NA,NA,NA,
192,DOG,NA,NA,NA,NA,
193,DOGB4,NA,NA,NA,NA,
194,DWELLING,NA,NA,NA,NA,
195,DWELLPRE,NA,NA,NA,NA,
196,DWELOWN,5.993333333,47.31666667,3,-0.075,1
197,DWELOWN16,NA,NA,NA,NA,
198,EARNRS,NA,NA,NA,NA,
199,EARTHSUN,NA,NA,NA,NA,
200,EDUC,NA,NA,NA,NA,
201,EGOMEANS,NA,NA,NA,NA,
