"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"RELACTIV_2_recoded",106,5215,2.61246404602109,1.89986119034506,4,2.7653965971723,0,0,4,4,-0.643687196533174,-1.58175271313691,0.026308416869769
"LONELY1_2_recoded",107,5215,2.63585810162991,1.8948932307051,4,2.79463215911814,0,0,4,4,-0.670800048366513,-1.54880999877157,0.0262396228158326
"AGE_2_recoded",108,5215,2.60172579098754,1.907517705067,4,2.75197699496765,0,0,4,4,-0.6307783206716,-1.60242587232708,0.0264144408162015
"SPKLANG_2_recoded",109,5215,3.65867689357622,1.10864068641284,4,4,0,0,4,4,-2.96742207865205,6.85885156507639,0.015351953861239
"LIBATH_2_recoded",110,5215,3.53633748801534,1.27971875851153,4,3.91996165827942,0,0,4,4,-2.39835867071629,3.75541096501928,0.0177209654821518
"CLASS_2_recoded",111,5215,2.60306807286673,1.9064398822699,4,2.75365444524323,0,0,4,4,-0.632242836258466,-1.59995216681615,0.0263995156145068
"RICHWORK_2_recoded",112,5215,3.44333652924257,1.37829397225448,4,3.80373831775701,0,0,4,4,-2.08545919382804,2.36797772991574,0.0190859903741573
"VOTE16_2_recoded",113,5215,2.64582933844679,1.8702056355694,4,2.80709321830817,0,0,4,4,-0.682388437973833,-1.50740926923574,0.0258977601852137
"LIFE_2_recoded",114,5215,3.0673058485139,1.69122918776517,4,3.33381260484064,0,0,4,4,-1.26166995648581,-0.407845425088459,0.0234193754365633
"COURTS_2_recoded",115,5215,2.64256951102589,1.8762925256579,4,2.80301941049605,0,0,4,4,-0.676601846079307,-1.52646084790909,0.0259820486809747
"COOP_2_recoded",116,5215,2.60172579098754,1.907517705067,4,2.75197699496765,0,0,4,4,-0.6307783206716,-1.60242587232708,0.0264144408162015
"RANK_2_recoded",117,5215,2.62972195589645,1.89025690665479,4,2.7869638150012,0,0,4,4,-0.664109521797411,-1.55167712773043,0.0261754211012659
"RINCOM16_2_recoded",118,5215,3.11447746883989,1.64589998390548,4,3.39276300023964,0,0,4,4,-1.33465421764234,-0.199223034547335,0.0227916771617757
"SPWKSUP_2_recoded",119,5215,2.60172579098754,1.907517705067,4,2.75197699496765,0,0,4,4,-0.6307783206716,-1.60242587232708,0.0264144408162015
"DISRSPCT_2_recoded",120,5215,3.07996164908917,1.68180634211213,4,3.34962856458184,0,0,4,4,-1.28321920401113,-0.350976154065429,0.0232888921397838
"RESPECT_2_recoded",121,5215,2.60172579098754,1.907517705067,4,2.75197699496765,0,0,4,4,-0.6307783206716,-1.60242587232708,0.0264144408162015
"PISTOL_2_recoded",122,5215,3.06999041227229,1.68635021347457,4,3.3371675053918,0,0,4,4,-1.26394625901854,-0.397957580196144,0.0233518136114224
"RIFLE_2_recoded",123,5215,3.06999041227229,1.68635021347457,4,3.3371675053918,0,0,4,4,-1.26394625901854,-0.397957580196144,0.0233518136114224
"SHOTGUN_2_recoded",124,5215,3.06999041227229,1.68635021347457,4,3.3371675053918,0,0,4,4,-1.26394625901854,-0.397957580196144,0.0233518136114224
"FEAR_2_recoded",125,5215,3.06788111217641,1.69035543969958,4,3.33453151210161,0,0,4,4,-1.26273976158237,-0.404510304278488,0.0234072761692771
"FEFAM_2_recoded",126,5215,3.09587727708533,1.67268159124444,4,3.36951833213515,0,0,4,4,-1.30954553128621,-0.284484339302141,0.0231625367245145
