"","X","document","Flesch.Kincaid","Dale.Chall","ELF","FOG.NRI","rowcount0s","rowcount1s","rowcount2s","rowcount3s","rowcount4s"
"LIBATH",435,"LIBATH",14.95875,33.01375,11,5.22,602,3,0,1,4609
"LIBCOM",436,"LIBCOM",6.93636363636364,47.7736363636364,3.66666666666667,0.975,592,6,2,6,4609
"LIBHOMO",437,"LIBHOMO",15.7766666666667,33.8,10,4.5,598,2,3,3,4609
"LIBMIL",438,"LIBMIL",9.22368421052632,42.76,5.33333333333333,1.79333333333333,596,2,1,7,4609
"LIBMSLM",439,"LIBMSLM",15.5914285714286,28.9928571428571,11,6.375,594,5,1,6,4609
"LIBRAC",440,"LIBRAC",14.8012121212121,32.5936363636364,9,5.595,595,3,2,6,4609
"LIFE",441,"LIFE",6.93636363636364,47.7736363636364,4,-0.675,1215,1,0,1,3998
"LIVEBLKS",444,"LIVEBLKS",11.3769230769231,31.5115384615385,9,7.49166666666667,1164,6,1,7,4037
"LOCALNUM",446,"LOCALNUM",8.09818181818182,38.7663636363636,4.33333333333333,2.75333333333333,927,50,17,4,4217
"LONELY1",447,"LONELY1",5.4,17.335,2,-0.0600000000000001,1775,1,3,5,3431
"LONELY2",448,"LONELY2",6.50777777777778,25.1911111111111,3,0.3,1779,0,3,2,3431
"MARASIAN",476,"MARAsian",11.2272727272727,39.1372727272727,7,-0.675,1164,4,1,9,4037
"MARBLK",477,"MARBLK",7.19,47.6,5,-0.9,1170,3,0,5,4037
"MARHISP",480,"MARHISP",10.7233333333333,31.97,7,-0.42,1161,3,1,13,4037
"MARHOMO",481,"MARHOMO",10.2088888888889,36.6788888888889,4,-0.915,1201,6,3,6,3999
"MARITAL",482,"MARITAL",10.3569230769231,33.1069230769231,7,-0.395,1818,2,1,2,3392
"MARWHT",484,"MARWHT",10.7621052631579,35.89,9.5,2.87,1168,6,0,4,4037
"MEOVRWRK",503,"MEOVRWRK",7.77333333333333,47.8033333333333,5,-0.54,1176,2,1,1,4035
"NATAID",547,"NATAID",5.99333333333333,47.3166666666667,5,-0.375,875,20,1,8,4311
"NATAIDY",548,"NATAIDY",8.39294117647059,46.6817647058824,7,0.115,906,5,1,7,4296
"NATARMS",549,"NATARMS",9.78555555555556,41.0244444444444,7,0.48,894,6,0,4,4311
"NATARMSY",550,"NATARMSY",7.56666666666667,47.3166666666667,6,-0.225,913,3,0,3,4296
"NATCHLD",551,"NATCHLD",7.6125,41.085,6,-0.0600000000000001,1773,30,1,19,3392
"NATCITY",552,"NATCITY",8.14,40.7,7,0.5,880,18,0,6,4311
"NATCITYY",553,"NATCITYY",7.69882352941177,46.6817647058824,6,0.115,883,30,0,6,4296
"NATCRIME",554,"NATCRIME",7.16333333333334,46.3022222222222,6,0.12,891,8,0,5,4311
"NATCRIMY",555,"NATCRIMY",6.78,47.3166666666667,5,-0.225,908,3,2,6,4296
"NATDRUG",556,"NATDRUG",7.69882352941177,41.0935294117647,6,0.115,896,5,0,3,4311
"NATDRUGY",557,"NATDRUGY",9.14,40.9833333333333,5,-0.225,897,13,3,6,4296
"NATEDUC",558,"NATEDUC",10.4411111111111,35.7466666666667,8,0.48,900,1,0,3,4311
"NATEDUCY",559,"NATEDUCY",7.57,47.5542857142857,5,-0.38,913,4,0,2,4296
"NATENRGY",560,"NATENRGY",11.8635294117647,29.9170588235294,8,0.455,1797,17,1,8,3392
"NATENVIR",561,"NATENVIR",10.4411111111111,46.3022222222222,7,0.66,896,6,0,2,4311
"NATENVIY",562,"NATENVIY",7.56666666666667,47.3166666666667,5,-0.225,911,5,1,2,4296
"NATFARE",563,"NATFARE",5.88428571428572,47.5542857142857,5,-0.52,891,8,1,4,4311
"NATFAREY",564,"NATFAREY",7.00470588235294,46.6817647058824,5,0.115,912,1,0,6,4296
"NATHEAL",565,"NATHEAL",9.20947368421053,45.89,7,0.685,885,6,0,13,4311
"NATHEALY",566,"NATHEALY",5.04142857142857,54.34,4,-0.52,910,4,0,5,4296
"NATMASS",568,"NATMASS",7.56666666666667,40.9833333333333,5,-0.225,1788,24,0,11,3392
"NATPARK",571,"NATPARK",7.6125,47.0225,5,-0.0600000000000001,1804,11,1,7,3392
"NATRACE",572,"NATRACE",8.47444444444444,46.3022222222222,6,0.48,883,8,4,9,4311
"NATRACEY",573,"NATRACEY",6.875,47.0225,5,-0.0600000000000001,896,12,3,8,4296
"NATSCI",577,"NATSCI",9.825,35.1475,7,0.1,1794,20,0,9,3392
"NATSOC",578,"NATSOC",8.35333333333334,40.9833333333333,6,-0.225,1800,12,0,11,3392
"NATSPAC",579,"NATSPAC",8.39294117647059,41.0935294117647,6,0.115,883,18,0,3,4311
"NATSPACY",580,"NATSPACY",7.56666666666667,47.3166666666667,5,-0.225,896,21,0,2,4296
"NEWS",586,"NEWS",8.52,47.44,4,1.86,1179,0,0,0,4036
"NOTSMART",590,"NOTSMART",4.09722222222222,54.685,2.5,0.4575,1191,7,3,4,4010
"OTHLANG",621,"OTHLANG",4.79090909090909,30.5009090909091,4,-0.895,1809,0,11,3,3392
