"","document","Flesch.Kincaid","Dale.Chall","ELF","FOG.NRI"
"572","NATRACE",8.47444444444444,46.3022222222222,6,0.48
"573","NATRACEY",6.875,47.0225,5,-0.0600000000000001
"577","NATSCI",9.825,35.1475,7,0.1
"578","NATSOC",8.35333333333334,40.9833333333333,6,-0.225
"579","NATSPAC",8.39294117647059,41.0935294117647,6,0.115
"580","NATSPACY",7.56666666666667,47.3166666666667,5,-0.225
"586","NEWS",8.52,47.44,4,1.86
"590","NOTSMART",4.09722222222222,54.685,2.5,0.4575
"621","OTHLANG",4.79090909090909,30.5009090909091,4,-0.895
"629","OWNGUN",4.82333333333333,47.8033333333333,3,-0.66
"674","PILLOK",15.69625,15.20125,14,4.9
"675","PISTOL",3.755,34.73,3,-1.18
"682","POLVIEWS",8.138,25.9,4,3.83333333333333
"683","POORSERV",6.72714285714286,50.9471428571429,5,0.74
"684","POPESPKS",9.0875,29.21,6,0.1
"689","POSTLIFE",6.78,47.3166666666667,5,-0.225
"690","PRAY",2.48333333333333,59.86,2,-1.32
"691","PRAYER",8.8952380952381,33.6766666666667,6,3.75
"693","PREMARSX",10.2408333333333,33.5858333333333,8,4.98
"695","PRES16",4.96444444444445,15.5677777777778,3,-1.005
"706","RACDIF1",7.6,41.55,1.5,-1.15
"707","RACDIF2",4.4925,52.5425,1.5,-0.7
"708","RACDIF3",5.31239130434783,47.8041304347826,2,0.1675
"709","RACDIF4",6.28240740740741,30.0553703703704,3,0.7275
"714","RACLIVE",8.00909090909091,39.1372727272727,5,-0.675
"715","RACOPEN",7.655,42.3438888888889,5,6.06
"716","RACWORK",6.64761904761905,49.51,4,0.705
"719","RANK",4.00307692307693,45.2864102564103,2.33333333333333,1.165
"724","REBORN",11.1820689655172,34.1624137931034,6,3.285
"727","RELACTIV",11.7627272727273,35.8654545454545,7,1.58
"769","RELIG",7.6,22.55,2,-1.275
"774","RELITEN",8.39294117647059,29.9170588235294,6,0.285
"778","RELPERSN",10.9558695652174,18.8910869565217,6,0.6275
"797","RESPECT",6.30571428571429,47.5542857142857,4.5,0.74
"803","RICHWORK",11.3451612903226,36.4809677419355,5,3.925
"804","RIFLE",3.755,34.73,3,-1.18
"806","RINCOM16",3.77326086956522,43.6736956521739,2.5,-0.0625
"809","ROWNGUN",6.27555555555556,47.2344444444444,3,-1.005
"820","SATFIN",11.4945454545455,33.7063636363636,7,5.1
"821","SATJOB",14.6066666666667,24.2588888888889,9,3.765
"825","SAVESOUL",9.45714285714286,22.3671428571429,8,0.915
"854","SEX",3.65333333333334,15.5677777777778,3,-1.095
"855","SEXBIRTH",3.65,38.1,2,-0.9
"856","SEXEDUC",5.80666666666667,39.8866666666667,3,-0.66
"858","SEXNOW",6.27555555555556,36.6788888888889,4,-1.005
"862","SHOTGUN",3.755,34.73,3,-1.18
"870","SOCBAR",2.47,47.6,2,-1
"871","SOCFREND",6.78,47.3166666666667,5,-0.225
"872","SOCOMMUN",6.78,47.3166666666667,5,-0.225
"873","SOCREL",6.01,38.1,4,-0.9
"877","SPANKING",12.875652173913,31.6082608695652,10,2.065
"880","SPDEN",10.74,32.0271428571429,3,-1.115
"882","SPEVWORK",3.09538461538461,40.4146153846154,2,-0.655
"891","SPJew",9.78117647058824,7.56411764705883,6,0.455
"892","SPKATH",9.08204081632653,43.0361224489796,6.33333333333333,3.645
"893","SPKCOM",5.80789473684211,42.76,3.33333333333333,1.41333333333333
"895","SPKLANG",0.625714285714285,59.17,1,-1.255
"896","SPKMIL",9.78555555555556,38.3855555555556,6.5,2.64
"897","SPKMSLM",9.52,30.89,6.5,3.06
"898","SPKRAC",9.78555555555556,35.7466666666667,5.5,2.64
"905","SPRTPRSN",13.5210869565217,18.8910869565217,6,0.6275
"910","SPWKSUP",10.0190476190476,26.8909523809524,5,1.545
"920","SUICIDE1",8.00818181818182,40.1836363636364,4,1.14
"921","SUICIDE2",6.08571428571429,44.9861904761905,3,0.705
"922","SUICIDE3",8.52,43.4816666666667,4,1.86
"923","SUICIDE4",8.61923076923077,46.06,5,1.88
"927","TAX",8.77130434782609,35.7386956521739,5,1.605
"930","TEENSEX",6.72526315789474,38.39,4.5,2.3
"934","THREATEN",4.25454545454546,47.7736363636364,3,-0.18
"954","USCITZN",2.31142857142857,25.2414285714286,1,-0.94
"957","USEWWW",5.20666666666667,40.9833333333333,3,-0.225
"958","USWARY",7.00470588235294,46.6817647058824,4,0.285
"976","VOTE16",10.5116666666667,23.8271212121212,6.5,2.3775
"983","WEBMOB",11.5474074074074,20.7403703703704,7,3.225
"1002","WIDOWED",2.88,41.55,2,-1.375
"1042","WRKGOVT",15.6380952380952,-0.251904761904758,11,1.965
"1046","WRKSLFFAM",5.99333333333333,40.9833333333333,4,-0.225
"1047","WRKSTAT",4.19857142857143,49.8161904761905,3,1.44
"1050","WRKWAYUP",13.7025609756098,19.7330487804878,12,4.3425
"1056","XMARSEX",15.8739393939394,32.5936363636364,16,4.935
"1064","YOUSUP",9.05428571428572,45.5985714285714,4,-1.115
